间隔天数,预测值,实际值
1,13744.8154,11593.8291
3,14185.24,11745.3516
2,13857.1768,11745.3516
1,13857.1768,11745.3516
3,14071.59,11661.5244
2,13743.5264,11661.5244
1,13743.5264,11661.5244
3,14109.93,11602.0127
2,13781.874,11602.0127
1,13781.874,11602.0127
3,14112.26,11629.7266
2,13784.1973,11629.7266
1,13784.1973,11629.7266
3,14158.29,11630.2383
2,13830.2295,11630.2383
1,13830.2295,11630.2383
3,14148.49,11783.6797
2,13820.4268,11783.6797
1,13820.4268,11783.6797
3,14201.81,11740.1172
2,13873.751,11740.1172
1,13873.751,11740.1172
3,14266.43,11827.0752
2,13938.3652,11827.0752
1,13938.3652,11827.0752
3,14387.04,11990.5527
2,14058.9814,11990.5527
1,14058.9814,11990.5527
3,14633.14,12077.4004
2,14305.084,12077.4004
1,14305.084,12077.4004
3,14882.43,12290.626
2,14554.373,12290.626
1,14554.373,12290.626
3,15314.03,12660.9678
2,14985.9678,12660.9678
1,14985.9678,12660.9678
3,15659.64,12926.584
2,15331.5771,12926.584
1,15331.5771,12926.584
3,15804.0,13002.3877
2,15475.9443,13002.3877
1,15475.9443,13002.3877
3,15718.64,12951.1943
2,15390.5791,12951.1943
1,15390.5791,12951.1943
3,15487.24,12740.7646
2,15159.1807,12740.7646
1,15159.1807,12740.7646
3,15291.7,12580.001
2,14963.6445,12580.001
1,14963.6445,12580.001
3,15118.12,12457.0313
2,14790.0557,12457.0313
1,14790.0557,12457.0313
3,14961.55,12276.6523
2,14633.4912,12276.6523
1,14633.4912,12276.6523
3,14858.66,12169.9531
2,14530.6025,12169.9531
1,14530.6025,12169.9531
3,14707.0,12077.3701
2,14378.9385,12077.3701
1,14378.9385,12077.3701
3,14556.59,12006.7773
2,14228.5322,12006.7773
1,14228.5322,12006.7773
3,14411.97,11859.7607
2,14083.9053,11859.7607
1,14083.9053,11859.7607
3,14397.64,11820.5371
2,14069.585,11820.5371
1,14069.585,11820.5371
3,14350.57,11700.3174
2,14022.5068,11700.3174
1,14022.5068,11700.3174
3,14280.04,11617.7002
2,13951.9844,11617.7002
1,13951.9844,11617.7002
3,14143.2,11474.9863
2,13815.1357,11474.9863
1,13815.1357,11474.9863
3,14085.84,11455.3711
2,13757.7754,11455.3711
1,13757.7754,11455.3711
3,14075.27,11459.9521
2,13747.21,11459.9521
1,13747.21,11459.9521
3,14121.84,11774.7998
2,13793.7842,11774.7998
1,13793.7842,11774.7998
3,13879.89,11589.7754
2,13551.8291,11589.7754
1,13551.8291,11589.7754
3,13740.93,11372.1748
2,13412.8682,11372.1748
1,13412.8682,11372.1748
3,13528.63,11199.1055
2,13200.5723,11199.1055
1,13200.5723,11199.1055
3,13298.97,10969.166
2,12970.9072,10969.166
1,12970.9072,10969.166
3,13099.92,10802.3809
2,12771.8613,10802.3809
1,12771.8613,10802.3809
3,12784.98,10567.3906
2,12456.916,10567.3906
1,12456.916,10567.3906
3,12568.22,10357.0195
2,12240.1602,10357.0195
1,12240.1602,10357.0195
3,12572.17,10292.333
2,12244.1104,10292.333
1,12244.1104,10292.333
3,12400.68,10142.6387
2,12072.6191,10142.6387
1,12072.6191,10142.6387
3,12270.91,10024.4941
2,11942.8525,10024.4941
1,11942.8525,10024.4941
4,14236.57,11019.0371
3,13736.5713,11019.0371
2,13736.5713,11019.0371
1,13736.5713,11019.0371
4,14349.71,11089.3096
3,13849.7061,11089.3096
2,13849.7061,11089.3096
1,13849.7061,11089.3096
4,14482.37,11255.4629
3,13982.373,11255.4629
2,13982.373,11255.4629
1,13982.373,11255.4629
4,14604.24,11334.7637
3,14104.2393,11334.7637
2,14104.2393,11334.7637
1,14104.2393,11334.7637
4,14636.38,11373.8301
3,14136.377,11373.8301
2,14136.377,11373.8301
1,14136.377,11373.8301
4,14619.07,11440.9434
3,14119.0674,11440.9434
2,14119.0674,11440.9434
1,14119.0674,11440.9434
4,14396.49,11262.1904
3,13896.4941,11262.1904
2,13896.4941,11262.1904
1,13896.4941,11262.1904
4,14176.74,11177.7988
3,13676.7422,11177.7988
2,13676.7422,11177.7988
1,13676.7422,11177.7988
4,13966.31,10955.9443
3,13466.3125,10955.9443
2,13466.3125,10955.9443
1,13466.3125,10955.9443
4,13854.91,10884.1934
3,13354.9072,10884.1934
2,13354.9072,10884.1934
1,13354.9072,10884.1934
4,13825.82,10894.8789
3,13325.8174,10894.8789
2,13325.8174,10894.8789
1,13325.8174,10894.8789
4,13787.03,10687.4697
3,13287.0342,10687.4697
2,13287.0342,10687.4697
1,13287.0342,10687.4697
4,13786.08,10702.667
3,13286.0791,10702.667
2,13286.0791,10702.667
1,13286.0791,10702.667
4,13828.69,10775.2744
3,13328.6924,10775.2744
2,13328.6924,10775.2744
1,13328.6924,10775.2744
4,13867.4,10782.834
3,13367.3994,10782.834
2,13367.3994,10782.834
1,13367.3994,10782.834
4,13868.75,10862.3887
3,13368.7461,10862.3887
2,13368.7461,10862.3887
1,13368.7461,10862.3887
4,13865.6,10856.1289
3,13365.5977,10856.1289
2,13365.5977,10856.1289
1,13365.5977,10856.1289
4,13908.86,10944.6025
3,13408.8594,10944.6025
2,13408.8594,10944.6025
1,13408.8594,10944.6025
4,13931.19,11027.124
3,13431.1943,11027.124
2,13431.1943,11027.124
1,13431.1943,11027.124
4,13988.39,11158.0801
3,13488.3877,11158.0801
2,13488.3877,11158.0801
1,13488.3877,11158.0801
4,14096.0,11265.8311
3,13596.001,11265.8311
2,13596.001,11265.8311
1,13596.001,11265.8311
4,14254.1,11428.1914
3,13754.0957,11428.1914
2,13754.0957,11428.1914
1,13754.0957,11428.1914
4,14342.35,11613.3223
3,13842.3496,11613.3223
2,13842.3496,11613.3223
1,13842.3496,11613.3223
4,14643.05,11797.6309
3,14143.0518,11797.6309
2,14143.0518,11797.6309
1,14143.0518,11797.6309
4,14945.2,12126.5264
3,14445.2041,12126.5264
2,14445.2041,12126.5264
1,14445.2041,12126.5264
4,15419.77,12605.7842
3,14919.7734,12605.7842
2,14919.7734,12605.7842
1,14919.7734,12605.7842
4,15777.24,13035.6875
3,15277.2363,13035.6875
2,15277.2363,13035.6875
1,15277.2363,13035.6875
4,15926.58,13214.7012
3,15426.5752,13214.7012
2,15426.5752,13214.7012
1,15426.5752,13214.7012
4,15740.43,13119.7051
3,15240.4297,13119.7051
2,15240.4297,13119.7051
1,15240.4297,13119.7051
4,15518.57,12962.1787
3,15018.5742,12962.1787
2,15018.5742,12962.1787
1,15018.5742,12962.1787
4,15301.66,12781.0156
3,14801.6553,12781.0156
2,14801.6553,12781.0156
1,14801.6553,12781.0156
4,15118.2,12613.1377
3,14618.1963,12613.1377
2,14618.1963,12613.1377
1,14618.1963,12613.1377
4,14961.22,12466.5117
3,14461.2178,12466.5117
2,14461.2178,12466.5117
1,14461.2178,12466.5117
4,14831.16,12358.5684
3,14331.1563,12358.5684
2,14331.1563,12358.5684
1,14331.1563,12358.5684
4,14667.57,12261.0918
3,14167.5742,12261.0918
2,14167.5742,12261.0918
1,14167.5742,12261.0918
4,14579.5,12133.0439
3,14079.5049,12133.0439
2,14079.5049,12133.0439
1,14079.5049,12133.0439
4,14535.58,12086.9775
3,14035.5791,12086.9775
2,14035.5791,12086.9775
1,14035.5791,12086.9775
4,14429.44,12065.2324
3,13929.4404,12065.2324
2,13929.4404,12065.2324
1,13929.4404,12065.2324
4,14330.0,11997.1318
3,13830.002,11997.1318
2,13830.002,11997.1318
1,13830.002,11997.1318
4,14227.5,11877.7471
3,13727.5,11877.7471
2,13727.5,11877.7471
1,13727.5,11877.7471
4,14178.64,11834.377
3,13678.6436,11834.377
2,13678.6436,11834.377
1,13678.6436,11834.377
4,14080.37,11790.2705
3,13580.3682,11790.2705
2,13580.3682,11790.2705
1,13580.3682,11790.2705
4,14092.95,11842.6455
3,13592.9463,11842.6455
2,13592.9463,11842.6455
1,13592.9463,11842.6455
4,14158.74,12094.4932
3,13658.7441,12094.4932
2,13658.7441,12094.4932
1,13658.7441,12094.4932
4,13931.54,11890.6387
3,13431.5391,11890.6387
2,13431.5391,11890.6387
1,13431.5391,11890.6387
4,13892.01,11687.4736
3,13392.0146,11687.4736
2,13392.0146,11687.4736
1,13392.0146,11687.4736
4,13635.36,11514.7715
3,13135.3604,11514.7715
2,13135.3604,11514.7715
1,13135.3604,11514.7715
4,13390.64,11281.9131
3,12890.6367,11281.9131
2,12890.6367,11281.9131
1,12890.6367,11281.9131
4,13102.75,11100.1299
3,12602.7451,11100.1299
2,12602.7451,11100.1299
1,12602.7451,11100.1299
4,12935.19,10823.8818
3,12435.1934,10823.8818
2,12435.1934,10823.8818
1,12435.1934,10823.8818
4,12833.69,10673.957
3,12333.6924,10673.957
2,12333.6924,10673.957
1,12333.6924,10673.957
4,12777.98,10639.9902
3,12277.9805,10639.9902
2,12277.9805,10639.9902
1,12277.9805,10639.9902
4,12532.48,10453.7197
3,12032.4775,10453.7197
2,12032.4775,10453.7197
1,12032.4775,10453.7197
4,12344.93,10328.3604
3,11844.9287,10328.3604
2,11844.9287,10328.3604
1,11844.9287,10328.3604
5,14278.16,12002.9463
4,13648.1611,12002.9463
3,13648.1611,12002.9463
2,13648.1611,12002.9463
1,13868.16,12002.9463
5,14433.18,12122.9961
4,13803.1787,12122.9961
3,13803.1787,12122.9961
2,13803.1787,12122.9961
1,14023.18,12122.9961
5,14547.39,12244.8701
4,13917.3945,12244.8701
3,13917.3945,12244.8701
2,13917.3945,12244.8701
1,14137.39,12244.8701
5,14678.93,12444.3701
4,14048.9346,12444.3701
3,14048.9346,12444.3701
2,14048.9346,12444.3701
1,14268.93,12444.3701
5,14754.45,12417.7441
4,14124.4541,12417.7441
3,14124.4541,12417.7441
2,14124.4541,12417.7441
1,14344.45,12417.7441
5,14664.78,12396.8984
4,14034.7803,12396.8984
3,14034.7803,12396.8984
2,14034.7803,12396.8984
1,14254.78,12396.8984
5,14616.93,12214.9795
4,13986.9277,12214.9795
3,13986.9277,12214.9795
2,13986.9277,12214.9795
1,14206.93,12214.9795
5,14425.91,12111.7705
4,13795.9082,12111.7705
3,13795.9082,12111.7705
2,13795.9082,12111.7705
1,14015.91,12111.7705
5,14117.76,11847.3203
4,13487.7617,11847.3203
3,13487.7617,11847.3203
2,13487.7617,11847.3203
1,13707.76,11847.3203
5,14088.7,11769.3271
4,13458.6953,11769.3271
3,13458.6953,11769.3271
2,13458.6953,11769.3271
1,13678.7,11769.3271
5,13943.88,11701.3203
4,13313.8799,11701.3203
3,13313.8799,11701.3203
2,13313.8799,11701.3203
1,13533.88,11701.3203
5,13965.78,11607.6289
4,13335.7842,11607.6289
3,13335.7842,11607.6289
2,13335.7842,11607.6289
1,13555.78,11607.6289
5,13892.54,11646.1797
4,13262.541,11646.1797
3,13262.541,11646.1797
2,13262.541,11646.1797
1,13482.54,11646.1797
5,13890.45,11749.8457
4,13260.4463,11749.8457
3,13260.4463,11749.8457
2,13260.4463,11749.8457
1,13480.45,11749.8457
5,13971.1,11739.5205
4,13341.0986,11739.5205
3,13341.0986,11739.5205
2,13341.0986,11739.5205
1,13561.1,11739.5205
5,13958.07,11848.1465
4,13328.0713,11848.1465
3,13328.0713,11848.1465
2,13328.0713,11848.1465
1,13548.07,11848.1465
5,14057.65,11754.5381
4,13427.6455,11754.5381
3,13427.6455,11754.5381
2,13427.6455,11754.5381
1,13647.65,11754.5381
5,14077.76,11927.7021
4,13447.7607,11927.7021
3,13447.7607,11927.7021
2,13447.7607,11927.7021
1,13667.76,11927.7021
5,14158.01,11941.0371
4,13528.0127,11941.0371
3,13528.0127,11941.0371
2,13528.0127,11941.0371
1,13748.01,11941.0371
5,14179.51,12021.9521
4,13549.5068,12021.9521
3,13549.5068,12021.9521
2,13549.5068,12021.9521
1,13769.51,12021.9521
5,14169.98,12053.418
4,13539.9814,12053.418
3,13539.9814,12053.418
2,13539.9814,12053.418
1,13759.98,12053.418
5,14381.16,12273.9648
4,13751.1553,12273.9648
3,13751.1553,12273.9648
2,13751.1553,12273.9648
1,13971.16,12273.9648
5,14528.89,12358.8359
4,13898.8887,12358.8359
3,13898.8887,12358.8359
2,13898.8887,12358.8359
1,14118.89,12358.8359
5,14762.38,12472.4609
4,14132.3779,12472.4609
3,14132.3779,12472.4609
2,14132.3779,12472.4609
1,14352.38,12472.4609
5,15112.38,12754.9336
4,14482.377,12754.9336
3,14482.377,12754.9336
2,14482.377,12754.9336
1,14702.38,12754.9336
5,15503.92,13101.2041
4,14873.915,13101.2041
3,14873.915,13101.2041
2,14873.915,13101.2041
1,15093.92,13101.2041
5,15888.6,13356.6953
4,15258.6006,13356.6953
3,15258.6006,13356.6953
2,15258.6006,13356.6953
1,15478.6,13356.6953
5,15964.04,13433.4775
4,15334.043,13433.4775
3,15334.043,13433.4775
2,15334.043,13433.4775
1,15554.04,13433.4775
5,15858.5,13310.499
4,15228.4961,13310.499
3,15228.4961,13310.499
2,15228.4961,13310.499
1,15448.5,13310.499
5,15527.59,13199.1797
4,14897.5918,13199.1797
3,14897.5918,13199.1797
2,14897.5918,13199.1797
1,15117.59,13199.1797
5,15462.04,13030.2461
4,14832.0361,13030.2461
3,14832.0361,13030.2461
2,14832.0361,13030.2461
1,15052.04,13030.2461
5,15209.05,12821.6406
4,14579.0537,12821.6406
3,14579.0537,12821.6406
2,14579.0537,12821.6406
1,14799.05,12821.6406
5,15110.47,12749.0449
4,14480.4717,12749.0449
3,14480.4717,12749.0449
2,14480.4717,12749.0449
1,14700.47,12749.0449
5,15011.56,12603.6553
4,14381.5576,12603.6553
3,14381.5576,12603.6553
2,14381.5576,12603.6553
1,14601.56,12603.6553
5,14847.19,12557.6475
4,14217.1855,12557.6475
3,14217.1855,12557.6475
2,14217.1855,12557.6475
1,14437.19,12557.6475
5,14759.02,12444.2295
4,14129.0215,12444.2295
3,14129.0215,12444.2295
2,14129.0215,12444.2295
1,14349.02,12444.2295
5,14699.91,12378.3057
4,14069.9141,12378.3057
3,14069.9141,12378.3057
2,14069.9141,12378.3057
1,14289.91,12378.3057
5,14671.85,12311.7109
4,14041.8496,12311.7109
3,14041.8496,12311.7109
2,14041.8496,12311.7109
1,14261.85,12311.7109
5,14503.52,12264.7656
4,13873.5234,12264.7656
3,13873.5234,12264.7656
2,13873.5234,12264.7656
1,14093.52,12264.7656
5,14501.23,12215.9287
4,13871.2305,12215.9287
3,13871.2305,12215.9287
2,13871.2305,12215.9287
1,14091.23,12215.9287
5,14317.97,12069.4482
4,13687.9736,12069.4482
3,13687.9736,12069.4482
2,13687.9736,12069.4482
1,13907.97,12069.4482
5,14286.61,12018.4248
4,13656.6143,12018.4248
3,13656.6143,12018.4248
2,13656.6143,12018.4248
1,13876.61,12018.4248
5,14259.2,12105.9512
4,13629.2021,12105.9512
3,13629.2021,12105.9512
2,13629.2021,12105.9512
1,13849.2,12105.9512
5,14365.35,12413.1064
4,13735.3496,12413.1064
3,13735.3496,12413.1064
2,13735.3496,12413.1064
1,13955.35,12413.1064
5,14178.64,12253.9609
4,13548.6396,12253.9609
3,13548.6396,12253.9609
2,13548.6396,12253.9609
1,13768.64,12253.9609
5,14007.75,12126.4336
4,13377.751,12126.4336
3,13377.751,12126.4336
2,13377.751,12126.4336
1,13597.75,12126.4336
5,13875.12,11934.9814
4,13245.1172,11934.9814
3,13245.1172,11934.9814
2,13245.1172,11934.9814
1,13465.12,11934.9814
5,13629.7,11701.9033
4,12999.6953,11701.9033
3,12999.6953,11701.9033
2,12999.6953,11701.9033
1,13219.7,11701.9033
5,13413.73,11459.9287
4,12783.7324,11459.9287
3,12783.7324,11459.9287
2,12783.7324,11459.9287
1,13003.73,11459.9287
5,13140.41,11270.8125
4,12510.4102,11270.8125
3,12510.4102,11270.8125
2,12510.4102,11270.8125
1,12730.41,11270.8125
5,12982.63,11081.0605
4,12352.6318,11081.0605
3,12352.6318,11081.0605
2,12352.6318,11081.0605
1,12572.63,11081.0605
5,12959.97,11065.709
4,12329.9688,11065.709
3,12329.9688,11065.709
2,12329.9688,11065.709
1,12549.97,11065.709
5,12708.77,10852.7344
4,12078.7676,10852.7344
3,12078.7676,10852.7344
2,12078.7676,10852.7344
1,12298.77,10852.7344
5,12521.29,10641.6279
4,11891.2949,10641.6279
3,11891.2949,10641.6279
2,11891.2949,10641.6279
1,12111.29,10641.6279
6,13904.2,12049.0801
5,13709.4297,12049.0801
4,13709.4297,12049.0801
3,13709.4297,12049.0801
2,13709.4297,12049.0801
1,13709.4297,12049.0801
6,14112.18,12132.6855
5,13917.4121,12132.6855
4,13917.4121,12132.6855
3,13917.4121,12132.6855
2,13917.4121,12132.6855
1,13917.4121,12132.6855
6,14226.46,12185.9912
5,14031.6855,12185.9912
4,14031.6855,12185.9912
3,14031.6855,12185.9912
2,14031.6855,12185.9912
1,14031.6855,12185.9912
6,14250.49,12277.627
5,14055.7227,12277.627
