间隔天数,预测值,实际值
2,3292.31,5745.814
1,3292.31,5745.814
2,3465.61,5760.5493
2,3302.82,5760.5493
1,3302.82,5760.5493
2,3318.57,5765.0005
2,3470.39,5765.0005
1,3318.57,5765.0005
2,3336.52,5763.9937
2,3469.16,5763.9937
1,3336.52,5763.9937
2,3349.89,5673.2246
2,3460.55,5673.2246
1,3349.89,5673.2246
2,3351.69,5655.829
2,3443.52,5655.829
1,3351.69,5655.829
2,3347.84,5595.358
2,3421.64,5595.358
1,3347.84,5595.358
2,3345.64,5628.911
2,3399.51,5628.911
1,3345.64,5628.911
3,2070.38,2701.5127
3,2432.75,2701.5127
2,2070.38,2701.5127
1,2045.67,2701.5127
3,2428.14,2750.6099
3,2126.91,2750.6099
2,2126.91,2750.6099
1,2099.47,2750.6099
3,2437.77,2877.836
3,2182.81,2877.836
2,2182.81,2877.836
1,2151.93,2877.836
3,2240.1,3000.0344
3,2464.22,3000.0344
2,2240.1,3000.0344
1,2206.98,3000.0344
3,2510.87,3148.5317
3,2301.18,3148.5317
2,2301.18,3148.5317
1,2268.55,3148.5317
3,2570.89,3263.7493
3,2368.85,3263.7493
2,2368.85,3263.7493
1,2341.5,3263.7493
3,2439.06,3419.23
3,2634.3,3419.23
2,2439.06,3419.23
1,2418.9,3419.23
3,2504.22,3507.5684
3,2700.05,3507.5684
2,2504.22,3507.5684
1,2487.25,3507.5684
3,2556.72,3547.503
3,2767.04,3547.503
2,2556.72,3547.503
1,2533.47,3547.503
3,2834.14,3578.171
3,2604.6,3578.171
2,2604.6,3578.171
1,2569.08,3578.171
3,2900.05,3570.0908
3,2655.28,3570.0908
2,2655.28,3570.0908
1,2607.76,3570.0908
3,2700.38,3625.4404
3,2963.53,3625.4404
2,2700.38,3625.4404
1,2640.15,3625.4404
3,3023.59,3575.7915
3,2731.71,3575.7915
2,2731.71,3575.7915
1,2656.51,3575.7915
3,2752.48,3614.3557
3,3078.92,3614.3557
2,2752.48,3614.3557
1,2673.36,3614.3557
3,3128.41,3617.1858
3,2773.66,3617.1858
2,2773.66,3617.1858
1,2698.14,3617.1858
3,3171.02,3585.3188
3,2795.43,3585.3188
2,2795.43,3585.3188
1,2707.18,3585.3188
3,3206.17,3511.5076
3,2818.85,3511.5076
2,2818.85,3511.5076
1,2677.38,3511.5076
3,2845.66,3484.0864
3,3235.25,3484.0864
2,2845.66,3484.0864
1,2614.51,3484.0864
3,3261.67,3454.258
3,2870.22,3454.258
2,2870.22,3454.258
1,2547.7,3454.258
3,3286.29,3440.788
3,2893.19,3440.788
2,2893.19,3440.788
1,2488.66,3440.788
3,3309.88,3387.6545
3,2915.48,3387.6545
2,2915.48,3387.6545
1,2449.09,3387.6545
3,3333.6,3371.3875
3,2937.76,3371.3875
2,2937.76,3371.3875
1,2403.86,3371.3875
3,3358.18,3299.7642
3,2960.72,3299.7642
2,2960.72,3299.7642
1,2345.03,3299.7642
3,2985.15,3234.6738
3,3384.53,3234.6738
2,2985.15,3234.6738
1,2313.8,3234.6738
3,3012.0,3202.6484
3,3413.64,3202.6484
2,3012.0,3202.6484
1,2349.71,3202.6484
3,3446.47,3277.13
3,3041.85,3277.13
2,3041.85,3277.13
1,2436.25,3277.13
3,3075.56,3386.1675
3,3483.81,3386.1675
2,3075.56,3386.1675
1,2524.49,3386.1675
3,3526.67,3558.2866
3,3113.81,3558.2866
2,3113.81,3558.2866
1,2609.25,3558.2866
3,3157.49,3740.1096
3,3575.94,3740.1096
2,3157.49,3740.1096
1,2685.05,3740.1096
3,3633.79,3955.0745
3,3208.88,3955.0745
2,3208.88,3955.0745
1,2759.37,3955.0745
3,3268.17,4092.189
3,3700.01,4092.189
2,3268.17,4092.189
1,2836.97,4092.189
3,3332.81,4127.392
3,3771.64,4127.392
2,3332.81,4127.392
1,2908.16,4127.392
3,3846.17,4168.044
3,3400.02,4168.044
2,3400.02,4168.044
1,2963.09,4168.044
3,3920.63,4220.7104
3,3467.37,4220.7104
2,3467.37,4220.7104
1,3009.09,4220.7104
3,3531.92,4308.0806
3,3992.3,4308.0806
2,3531.92,4308.0806
1,3056.56,4308.0806
3,4058.48,4335.4424
3,3591.26,4335.4424
2,3591.26,4335.4424
1,3100.97,4335.4424
3,4116.34,4346.0493
3,3642.68,4346.0493
2,3642.68,4346.0493
1,3137.93,4346.0493
3,4163.04,4417.345
3,3683.51,4417.345
2,3683.51,4417.345
1,3178.01,4417.345
3,4196.02,4454.9917
3,3711.06,4454.9917
2,3711.06,4454.9917
1,3223.69,4454.9917
3,3722.9,4528.4697
3,4212.24,4528.4697
2,3722.9,4528.4697
1,3258.16,4528.4697
3,4209.16,4652.035
3,3716.19,4652.035
2,3716.19,4652.035
1,3264.83,4652.035
3,4199.74,4678.5503
3,3703.07,4678.5503
2,3703.07,4678.5503
1,3252.98,4678.5503
3,3696.07,4721.1143
3,4197.25,4721.1143
2,3696.07,4721.1143
1,3241.85,4721.1143
3,3693.08,4843.233
3,4199.52,4843.233
2,3693.08,4843.233
1,3229.38,4843.233
3,3692.21,4892.3066
3,4204.14,4892.3066
2,3692.21,4892.3066
1,3213.26,4892.3066
3,3691.39,4948.7964
3,4208.7,4948.7964
2,3691.39,4948.7964
1,3198.14,4948.7964
3,4210.95,4986.059
3,3688.37,4986.059
2,3688.37,4986.059
1,3185.27,4986.059
3,3681.38,5012.415
3,4208.49,5012.415
2,3681.38,5012.415
1,3167.78,5012.415
3,3668.34,5156.2407
3,4199.01,5156.2407
2,3668.34,5156.2407
1,3138.96,5156.2407
3,3647.04,5228.0845
3,4180.26,5228.0845
2,3647.04,5228.0845
1,3104.62,5228.0845
3,3615.6,5251.619
3,4149.77,5251.619
2,3615.6,5251.619
1,3071.93,5251.619
3,3572.08,5292.1685
3,4105.15,5292.1685
2,3572.08,5292.1685
1,3035.95,5292.1685
3,3514.11,5236.215
3,4044.29,5236.215
2,3514.11,5236.215
1,2991.59,5236.215
3,3444.74,5144.8115
3,3970.79,5144.8115
2,3444.74,5144.8115
1,2942.27,5144.8115
4,2214.41,1674.8868
4,1714.88,1674.8868
3,2214.41,1674.8868
2,1463.65,1674.8868
1,1333.85,1674.8868
4,1695.74,1844.0895
4,2211.01,1844.0895
3,2211.01,1844.0895
2,1573.04,1844.0895
1,1398.87,1844.0895
4,2228.35,2121.452
4,1696.85,2121.452
3,2228.35,2121.452
2,1680.1,2121.452
1,1460.3,2121.452
4,2270.48,2449.566
4,1722.15,2449.566
3,2270.48,2449.566
2,1791.99,2449.566
1,1529.05,2449.566
4,2341.73,2785.5317
4,1775.79,2785.5317
3,2341.73,2785.5317
2,1916.06,2785.5317
1,1616.0,2785.5317
4,2432.65,3083.3745
4,1845.82,3083.3745
3,2432.65,3083.3745
2,2055.59,3083.3745
1,1717.03,3083.3745
4,1917.51,3342.55
4,2529.98,3342.55
3,2529.98,3342.55
2,2199.75,3342.55
1,1818.83,3342.55
4,2631.55,3732.516
4,1990.31,3732.516
3,2631.55,3732.516
2,2334.65,3732.516
1,1919.01,3732.516
4,2735.11,3887.6113
4,2063.67,3887.6113
3,2735.11,3887.6113
2,2446.44,3887.6113
1,2015.02,3887.6113
4,2137.0,4081.2146
4,2838.71,4081.2146
3,2838.71,4081.2146
2,2552.34,4081.2146
1,2118.36,4081.2146
4,2209.84,4191.8384
4,2940.27,4191.8384
3,2940.27,4191.8384
2,2665.06,4191.8384
1,2228.02,4191.8384
4,3037.57,4367.0005
4,2281.46,4367.0005
3,3037.57,4367.0005
2,2764.22,4367.0005
1,2324.74,4367.0005
4,2351.52,4463.179
4,3128.57,4463.179
3,3128.57,4463.179
2,2829.0,4463.179
1,2389.01,4463.179
4,3211.05,4557.837
4,2419.42,4557.837
3,3211.05,4557.837
2,2874.18,4557.837
1,2440.18,4557.837
4,2484.56,4596.068
4,3283.07,4596.068
3,3283.07,4596.068
2,2922.18,4596.068
1,2497.58,4596.068
4,2546.46,4621.704
4,3342.39,4621.704
3,3342.39,4621.704
2,2964.56,4621.704
1,2542.4,4621.704
4,3386.91,4639.8735
4,2604.57,4639.8735
3,3386.91,4639.8735
2,2993.03,4639.8735
1,2555.6,4639.8735
4,3422.59,4616.197
4,2659.3,4616.197
3,3422.59,4616.197
2,3011.65,4616.197
1,2541.38,4616.197
4,2712.13,4629.3677
4,3456.86,4629.3677
3,3456.86,4629.3677
2,3027.84,4629.3677
1,2523.66,4629.3677
4,2763.47,4670.508
4,3490.21,4670.508
3,3490.21,4670.508
2,3042.6,4670.508
1,2512.96,4670.508
4,3523.18,4705.867
4,2814.21,4705.867
3,3523.18,4705.867
2,3056.46,4705.867
1,2519.91,4705.867
4,3556.6,4673.2305
4,2864.94,4673.2305
3,3556.6,4673.2305
2,3070.35,4673.2305
1,2520.58,4673.2305
4,3590.49,4549.5913
4,2916.39,4549.5913
3,3590.49,4549.5913
2,3085.01,4549.5913
1,2508.81,4549.5913
4,3625.21,4512.152
4,2969.14,4512.152
3,3625.21,4512.152
2,3101.27,4512.152
1,2521.96,4512.152
4,3023.88,4524.734
4,3661.23,4524.734
3,3661.23,4524.734
2,3119.92,4524.734
1,2597.7,4524.734
4,3081.35,4552.029
4,3699.27,4552.029
3,3699.27,4552.029
2,3141.75,4552.029
1,2727.0,4552.029
4,3738.77,4702.2114
4,3142.16,4702.2114
3,3738.77,4702.2114
2,3167.56,4702.2114
1,2863.21,4702.2114
4,3207.02,4930.3774
4,3780.06,4930.3774
3,3780.06,4930.3774
2,3198.12,4930.3774
1,2985.6,4930.3774
4,3276.56,5118.1206
4,3824.66,5118.1206
3,3824.66,5118.1206
2,3234.21,5118.1206
1,3075.73,5118.1206
4,3354.39,5216.911
4,3872.11,5216.911
3,3872.11,5216.911
2,3276.76,5216.911
1,3151.95,5216.911
4,3441.72,5434.5645
4,3919.55,5434.5645
3,3919.55,5434.5645
2,3323.73,5434.5645
1,3232.73,5434.5645
4,3535.25,5600.9478
4,3967.12,5600.9478
3,3967.12,5600.9478
2,3373.72,5600.9478
1,3304.37,5600.9478
4,4014.67,5737.636
4,3631.91,5737.636
3,4014.67,5737.636
2,3425.09,5737.636
1,3352.79,5737.636
4,3728.6,5851.102
4,4062.27,5851.102
3,4062.27,5851.102
2,3476.65,5851.102
1,3387.0,5851.102
4,4109.73,5887.8706
4,3822.09,5887.8706
3,4109.73,5887.8706
2,3526.54,5887.8706
1,3423.22,5887.8706
4,3909.43,6004.5767
4,4157.3,6004.5767
3,4157.3,6004.5767
2,3573.57,6004.5767
1,3456.7,6004.5767
4,3987.27,6003.2227
4,4204.68,6003.2227
3,4204.68,6003.2227
2,3616.07,6003.2227
1,3484.81,6003.2227
4,4252.02,5932.2085
4,4052.58,5932.2085
3,4252.02,5932.2085
2,3652.67,5932.2085
1,3516.12,5932.2085
4,4299.37,5955.9326
4,4102.19,5955.9326
3,4299.37,5955.9326
2,3681.76,5955.9326
1,3550.16,5955.9326
4,4346.52,6055.3013
4,4133.07,6055.3013
3,4346.52,6055.3013
2,3701.92,6055.3013
1,3578.74,6055.3013
4,4141.95,6110.8477
4,4393.57,6110.8477
3,4393.57,6110.8477
2,3711.55,6110.8477
1,3593.56,6110.8477
4,4444.4,6164.7734
4,4139.12,6164.7734
3,4444.4,6164.7734
2,3717.22,6164.7734
1,3600.97,6164.7734
4,4501.44,6199.95
4,4136.83,6199.95
